order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
29,164,151,Quesadilla x2; Churros x1,2025-02-13,14:19:00,Preparing,635.5
30,83,182,Tandoori Roti x3; Biryani x1,2025-06-19,08:35:00,Preparing,460.75
31,161,78,Classic Dish x3; Special Platter x1; Special Platter x3; Classic Meal x1; Special Dish x3,2024-12-13,17:41:00,Preparing,4312.6
32,147,107,Classic Dish x3; Classic Meal x2; Deluxe Dish x2; Deluxe Meal x3; Special Dish x2,2024-10-12,13:21:00,Completed,4762.95
33,81,184,Rasam x2; Vada x2; Medu Vada x3,2025-03-18,12:29:00,Confirmed,571.5
34,116,64,Special Dish x2; Classic Meal x1,2025-02-07,21:46:00,Ready for Pickup,966.65
35,196,41,Churros x2; Salsa x2; Salsa x1; Burrito x2,2025-05-30,13:15:00,Preparing,1217.0
36,91,13,Chilli Chicken x2,2025-04-03,21:41:00,Completed,530.0
37,74,138,Special Meal x2,2024-11-25,12:25:00,Ready for Pickup,533.8
38,103,14,Classic Dish x3; Deluxe Dish x3; Deluxe Platter x3; Classic Platter x1; Special Meal x2,2024-10-17,21:48:00,Confirmed,4072.85
39,155,131,Calzone x1; Margherita Pizza x1; Lasagna x3; Bruschetta x2,2024-09-19,13:38:00,Completed,2026.5
40,36,84,Bruschetta x1; Tiramisu x3; Risotto x3; Bruschetta x3; Calzone x3,2025-02-01,19:19:00,Completed,3064.0
41,5,95,Classic Dish x3; Deluxe Platter x1; Classic Meal x3,2025-01-02,22:37:00,Completed,2616.8
42,185,14,Deluxe Dish x3; Classic Platter x1; Classic Dish x3; Classic Dish x1; Deluxe Meal x1,2025-06-09,19:26:00,Completed,2898.35
43,157,121,Quesadilla x3,2025-07-01,16:42:00,Completed,704.5
44,97,81,Hot & Sour Soup x3; Dim Sum x3,2025-06-09,19:55:00,Completed,1060.0
45,165,178,American Chopsuey x2; Fried Rice x1; Chilli Chicken x3,2025-03-04,09:19:00,Completed,1382.5
46,181,54,Deluxe Meal x3; Classic Meal x1; Classic Platter x2; Deluxe Meal x2,2024-12-22,12:45:00,Confirmed,2746.25
47,114,168,Pongal x1; Uttapam x3; Sambhar x3,2025-08-09,11:06:00,Completed,903.5
48,151,62,Hakka Noodles x3; Gobi Manchurian x1,2025-03-15,10:06:00,Completed,826.0
49,184,121,Quesadilla x1,2024-10-07,23:10:00,Completed,285.5
50,122,123,Biryani x2; Biryani x3,2025-04-18,21:05:00,Completed,1713.0
51,60,137,Special Meal x1,2025-02-18,20:11:00,Completed,307.0
52,75,10,Chilli Chicken x3,2024-10-22,04:21:00,Preparing,761.0
53,165,140,Deluxe Dish x2; Deluxe Dish x2; Special Platter x3; Deluxe Platter x1; Classic Meal x3,2025-05-29,20:11:00,Completed,3779.5
54,164,104,Classic Meal x2; Classic Dish x1; Deluxe Meal x1; Deluxe Meal x2,2025-01-12,11:21:00,Ready for Pickup,1599.45
55,186,147,Biryani x3,2024-11-27,19:03:00,Completed,1061.0
56,120,79,Deluxe Platter x3; Deluxe Platter x3,2024-12-30,12:14:00,Preparing,1991.55
57,35,123,Chole Bhature x3; Rajma Chawal x2,2025-02-21,19:58:00,Completed,1043.0
58,138,171,Uttapam x3; Masala Dosa x1,2025-05-16,13:45:00,Ready for Pickup,661.5
59,145,29,Classic Platter x3,2024-10-30,06:20:00,Completed,860.95
60,114,30,Classic Platter x1; Classic Meal x2,2025-04-18,14:29:00,Completed,831.8
61,144,119,Classic Dish x2; Special Platter x3; Special Dish x2,2025-06-30,02:03:00,Completed,2403.95
62,18,121,Guacamole x2,2025-02-26,20:49:00,Completed,377.0
63,187,166,Deluxe Meal x2; Deluxe Dish x3; Classic Dish x2; Special Dish x2,2025-07-03,05:14:00,Completed,4339.65
64,194,6,Chole Bhature x3; Samosa x2; Samosa x2,2025-04-06,10:22:00,Preparing,779.0
65,49,186,Tacos x3,2025-05-15,19:59:00,Completed,749.0
66,5,62,Manchurian x1; American Chopsuey x1,2025-07-08,18:45:00,Completed,488.5
67,63,190,Palak Paneer x2,2024-12-16,15:48:00,Completed,590.0
68,15,36,Biryani x1; Rajma Chawal x2; Rajma Chawal x3; Tandoori Roti x1; Biryani x1,2025-01-13,14:26:00,Ready for Pickup,1820.25
69,16,143,Lasagna x3; Tiramisu x3; Fettuccine x1; Bruschetta x3; Tiramisu x3,2024-09-14,19:26:00,Confirmed,3105.5
70,97,48,Salsa x1; Nachos x2; Quesadilla x2; Tacos x3; Fajitas x2,2025-04-20,15:24:00,Preparing,2291.0
71,53,85,Deluxe Meal x3,2025-03-30,20:03:00,Preparing,696.55
72,173,155,Hakka Noodles x1; Fried Rice x3; Gobi Manchurian x1; Hot & Sour Soup x1; Dim Sum x2,2025-07-06,09:12:00,Cancelled,1521.0
73,31,192,Special Platter x3; Special Meal x3; Deluxe Meal x2; Classic Platter x2,2024-10-18,12:56:00,Completed,3770.35
74,26,185,Deluxe Dish x2; Deluxe Dish x1; Classic Dish x2; Classic Platter x3,2024-12-16,12:12:00,Ready for Pickup,2964.5
75,98,146,Fettuccine x3; Bruschetta x2,2025-04-12,20:46:00,Completed,1264.5
76,126,118,Enchiladas x1; Quesadilla x3,2025-02-25,13:58:00,Completed,1009.0
77,165,16,Special Dish x1; Special Meal x3; Special Dish x1; Special Platter x2; Special Platter x3,2024-10-09,21:42:00,Completed,3820.65
78,2,137,Deluxe Dish x3; Classic Meal x2; Special Platter x2; Special Dish x3; Special Dish x3,2025-02-27,11:22:00,Preparing,3898.65
79,102,21,Fajitas x2; Mexican Rice x1; Nachos x2,2024-09-11,20:05:00,Completed,1249.0
80,167,195,Special Meal x2,2024-11-15,13:40:00,Pending,787.4
81,44,22,Bisi Bele Bath x3; Rasam x3; Idli x3; Dosa x1,2025-03-18,21:44:00,Completed,1240.0
82,122,70,Special Platter x3,2024-11-16,19:11:00,Completed,988.95
83,81,5,Masala Dosa x1; Bisi Bele Bath x1,2024-11-20,07:15:00,Completed,395.5
84,100,174,Deluxe Meal x3; Classic Dish x3; Deluxe Dish x2; Special Dish x3; Classic Platter x2,2024-11-24,19:50:00,Cancelled,4187.95
85,126,59,Classic Meal x1; Classic Platter x2; Special Platter x1,2025-08-18,03:17:00,Preparing,1805.4
86,183,163,Classic Meal x2; Special Dish x2,2024-10-12,12:17:00,Confirmed,1032.4
87,23,48,Salsa x3; Churros x3; Fajitas x1; Tacos x1,2024-12-15,16:38:00,Completed,1364.5
88,84,99,Guacamole x2,2025-03-02,20:46:00,Completed,390.0
89,63,147,Dal Makhani x3; Palak Paneer x1; Dal Makhani x2; Biryani x2; Chole Bhature x1,2025-01-25,07:17:00,Completed,2323.0
90,124,20,Deluxe Dish x2; Classic Platter x2; Special Dish x1,2025-01-02,12:39:00,Ready for Pickup,1887.25
91,85,113,Schezwan Noodles x3; American Chopsuey x1; Chilli Chicken x2,2025-02-27,21:12:00,Completed,1380.5
92,46,102,Biryani x3; Chole Bhature x3; Naan x2,2025-02-16,12:50:00,Ready for Pickup,1755.0
93,30,145,Rajma Chawal x3; Dal Makhani x3,2025-02-21,16:46:00,Completed,1402.0
94,182,54,Deluxe Platter x2; Classic Meal x3; Deluxe Dish x3; Special Platter x2,2024-10-02,13:38:00,Completed,2766.1
95,103,137,Classic Meal x1; Deluxe Platter x3; Classic Dish x1; Classic Platter x1; Classic Platter x3,2024-12-15,19:25:00,Cancelled,2960.6
96,85,111,Tacos x1,2025-03-17,09:47:00,Completed,277.0
97,149,177,Special Meal x2; Deluxe Platter x3; Classic Dish x1; Deluxe Dish x2; Special Dish x2,2025-05-21,12:50:00,Preparing,3626.35
98,124,90,Special Meal x2; Special Meal x3; Special Dish x3; Special Platter x3,2025-04-20,14:35:00,Preparing,3147.75
99,144,110,Special Meal x1; Special Platter x2; Deluxe Dish x1; Deluxe Platter x2,2025-04-16,19:13:00,Preparing,2808.3
100,181,17,Idli x3; Vada x2; Rasam x1; Pongal x1; Sambhar x3,2024-10-02,15:40:00,Ready for Pickup,932.5
101,100,157,Classic Dish x2; Deluxe Platter x3; Classic Meal x3; Special Platter x2,2025-05-31,10:07:00,Preparing,3394.9
102,178,37,Deluxe Meal x1; Classic Meal x1; Deluxe Platter x3; Classic Dish x1; Deluxe Meal x1,2024-11-18,21:39:00,Confirmed,2938.55
103,92,3,Lasagna x1; Tiramisu x3; Calzone x3; Fettuccine x2,2025-04-08,13:45:00,Completed,2519.5
104,126,43,Masala Dosa x1,2025-01-31,20:18:00,Pending,237.5
105,58,138,Special Meal x3; Deluxe Platter x1; Classic Dish x3,2024-09-28,15:48:00,Pending,2771.45
106,185,113,Fried Rice x2; Manchurian x3; Fried Rice x2; Hakka Noodles x2; Chilli Chicken x2,2025-07-04,13:07:00,Completed,2303.0
107,61,54,Classic Meal x3; Deluxe Dish x1; Special Dish x3; Deluxe Platter x3; Classic Dish x3,2024-11-20,12:17:00,Cancelled,4473.75
108,132,174,Special Meal x2,2025-03-02,05:55:00,Confirmed,449.0
109,38,183,Special Platter x2; Special Platter x2; Classic Meal x2,2024-12-08,19:56:00,Completed,2482.6
110,104,132,Classic Meal x2; Deluxe Platter x3; Special Platter x3,2024-10-07,19:54:00,Confirmed,2559.45
111,137,102,Palak Paneer x1; Chole Bhature x2,2025-05-12,20:21:00,Completed,701.0
112,34,145,Tandoori Roti x3; Butter Chicken x1; Paneer Tikka x3; Chole Bhature x1,2025-02-01,21:10:00,Completed,1554.25
113,1,110,Classic Dish x2; Special Meal x3,2024-12-16,11:23:00,Completed,1685.75
114,167,43,Bisi Bele Bath x3,2025-08-02,19:48:00,Preparing,616.0
115,168,24,Special Dish x1,2025-04-18,18:33:00,Completed,451.7
116,3,3,Pasta Alfredo x2; Lasagna x2; Pasta Alfredo x1,2024-11-01,03:51:00,Confirmed,1608.0
117,81,95,Special Meal x3; Classic Dish x3; Classic Dish x3,2025-03-22,13:46:00,Preparing,2764.75
118,192,39,Classic Platter x1; Special Dish x1; Classic Platter x2; Deluxe Meal x1,2025-07-20,19:15:00,Completed,1632.5
119,154,185,Deluxe Platter x3; Deluxe Dish x3; Classic Dish x2; Classic Dish x2; Deluxe Dish x2,2025-04-25,18:33:00,Completed,3770.2
120,4,93,Special Meal x2; Deluxe Platter x1; Deluxe Dish x3,2025-08-27,00:13:00,Pending,1981.75
121,16,102,Biryani x3; Samosa x2; Palak Paneer x3; Palak Paneer x1; Samosa x3,2025-04-28,06:05:00,Ready for Pickup,2379.0
122,131,53,Classic Meal x3; Classic Platter x3,2025-03-20,12:27:00,Completed,2705.2
123,62,15,Idli x2; Idli x2,2025-01-01,18:19:00,Completed,405.0
124,169,190,Paneer Tikka x1; Dal Makhani x3,2025-03-19,07:22:00,Completed,1017.0
125,185,67,Bruschetta x1; Risotto x3,2024-11-13,20:01:00,Ready for Pickup,992.5
126,110,70,Special Meal x3; Special Meal x3; Deluxe Dish x3; Special Meal x2; Special Platter x3,2025-02-06,10:32:00,Pending,5963.2
127,4,63,Deluxe Meal x1,2024-12-04,21:54:00,Pending,404.3
128,183,190,Naan x2; Naan x2; Tandoori Roti x2; Paneer Tikka x3,2025-03-13,05:43:00,Completed,1239.5
129,46,58,Special Meal x2; Deluxe Meal x1; Classic Meal x2; Special Meal x2; Classic Platter x2,2025-06-29,18:31:00,Cancelled,2592.95
130,199,51,Garlic Bread x1; Margherita Pizza x2; Margherita Pizza x1; Calzone x2; Margherita Pizza x2,2024-10-09,20:24:00,Completed,2340.0
131,187,79,Special Platter x2,2025-03-19,22:09:00,Completed,630.1
132,24,12,Churros x2; Enchiladas x2,2025-06-04,03:06:00,Completed,959.0
133,164,101,Mexican Rice x3,2025-01-04,13:08:00,Preparing,600.0
134,67,81,Dim Sum x2; Hot & Sour Soup x2; Fried Rice x1; Fried Rice x1,2025-08-29,20:06:00,Preparing,1150.0
135,43,116,Deluxe Meal x3; Deluxe Dish x2; Deluxe Meal x1; Special Platter x3,2025-06-05,18:13:00,Completed,2721.05
136,84,38,Uttapam x2,2025-08-24,14:43:00,Preparing,349.0
137,45,8,Fettuccine x3; Calzone x1; Pasta Alfredo x2; Pasta Alfredo x1,2025-01-19,00:53:00,Completed,2074.0
138,57,34,Deluxe Meal x3; Special Platter x2,2025-06-18,00:04:00,Preparing,2465.8
139,166,114,Special Meal x1; Deluxe Dish x3,2024-11-27,20:25:00,Completed,1023.0
140,98,175,Vada x2; Uttapam x1; Sambhar x2; Pongal x1,2025-08-22,19:39:00,Preparing,620.0
141,76,128,Gobi Manchurian x2; Hakka Noodles x1; Chilli Chicken x2; Spring Rolls x2,2024-12-26,19:51:00,Completed,1407.0
142,162,140,Deluxe Platter x2,2025-06-17,20:22:00,Completed,763.3
143,129,83,Deluxe Dish x2; Classic Dish x2; Special Meal x2; Classic Dish x1,2025-03-04,19:17:00,Completed,1860.45
144,189,15,Masala Dosa x2; Rasam x1,2025-04-14,10:20:00,Completed,440.0
145,179,92,Margherita Pizza x3; Bruschetta x3; Caprese Salad x1; Caprese Salad x1; Fettuccine x3,2024-09-18,07:02:00,Confirmed,2726.5
146,60,155,Hakka Noodles x3; Hot & Sour Soup x1,2024-11-08,21:12:00,Completed,775.5
147,88,184,Rasam x1; Dosa x1,2025-04-14,19:09:00,Completed,277.0
148,135,94,Deluxe Platter x2,2025-03-20,04:19:00,Ready for Pickup,1093.9
149,41,188,Classic Meal x2; Special Platter x3; Classic Meal x3; Classic Dish x2,2024-11-30,19:08:00,Preparing,4016.65
150,1,180,Tiramisu x3; Margherita Pizza x1; Caprese Salad x2; Caprese Salad x1; Caprese Salad x1,2025-08-18,06:47:00,Confirmed,1762.0
151,89,82,Classic Dish x3; Classic Meal x1,2024-12-02,09:44:00,Confirmed,1995.85
152,66,28,Special Meal x3,2025-04-01,22:56:00,Completed,1234.1
153,97,90,Deluxe Dish x3; Classic Platter x1; Deluxe Dish x2; Special Meal x1; Special Meal x2,2025-05-29,20:35:00,Completed,2708.05
154,24,87,Classic Meal x2; Classic Dish x2; Special Dish x2; Special Dish x3; Classic Platter x2,2025-04-20,12:15:00,Confirmed,3832.05
155,101,147,Chole Bhature x1; Butter Chicken x2; Butter Chicken x2; Paneer Tikka x2; Rajma Chawal x2,2025-05-30,04:13:00,Preparing,2709.0
156,75,21,Burrito x2; Fajitas x2; Salsa x3; Guacamole x1,2025-01-24,15:11:00,Ready for Pickup,1667.0
157,98,95,Deluxe Dish x2; Deluxe Meal x2,2025-06-20,02:48:00,Completed,1218.9
158,25,22,Medu Vada x2; Masala Dosa x1; Medu Vada x1,2024-10-14,20:26:00,Cancelled,432.0
159,176,122,Special Meal x1; Deluxe Platter x3; Classic Platter x3; Classic Dish x2; Special Dish x1,2025-02-08,01:05:00,Cancelled,2988.5
160,112,52,American Chopsuey x2; Dim Sum x3,2025-03-01,03:35:00,Ready for Pickup,1010.5
161,84,71,Deluxe Dish x3; Classic Meal x2; Special Dish x3; Classic Dish x3; Special Meal x2,2024-10-18,11:41:00,Completed,4887.05
162,156,122,Special Meal x1,2025-01-20,18:44:00,Completed,442.8
163,102,85,Special Platter x2; Deluxe Dish x2,2025-03-18,12:31:00,Completed,1550.5
164,176,26,Vada x2; Pongal x2,2025-08-21,20:38:00,Completed,404.0
165,49,114,Deluxe Platter x3; Deluxe Dish x1,2024-09-22,12:32:00,Completed,1721.35
166,200,135,Special Dish x1; Special Dish x2; Special Meal x2; Deluxe Meal x2; Classic Dish x1,2025-07-17,12:38:00,Completed,2560.8
167,122,151,Enchiladas x2; Quesadilla x2; Burrito x2; Tacos x2; Tacos x1,2025-04-25,20:13:00,Completed,2292.0
168,166,58,Deluxe Platter x3; Special Platter x2,2024-10-14,19:38:00,Completed,1492.25
169,58,65,Deluxe Platter x2; Deluxe Meal x2; Deluxe Dish x2; Classic Platter x2; Classic Dish x3,2025-08-19,22:53:00,Ready for Pickup,4048.35
170,166,153,Deluxe Meal x1; Deluxe Dish x2; Classic Meal x2; Classic Platter x2; Special Dish x1,2025-01-01,20:51:00,Completed,3294.3
171,104,170,Classic Dish x3; Deluxe Meal x2; Deluxe Meal x3,2024-11-16,23:52:00,Preparing,1709.85
172,186,183,Classic Platter x2; Classic Meal x2,2025-06-19,20:56:00,Completed,1898.5
173,76,25,Special Platter x3; Classic Dish x2; Classic Dish x2; Special Platter x2,2024-10-07,21:23:00,Preparing,3211.1
174,76,119,Deluxe Dish x3,2025-03-10,21:04:00,Completed,1560.1
175,50,129,Fajitas x3,2025-05-31,13:55:00,Completed,931.0
176,36,52,Schezwan Noodles x3; Hot & Sour Soup x1; Dim Sum x3,2024-12-23,20:31:00,Ready for Pickup,1364.0
177,46,81,Hakka Noodles x2,2025-03-08,09:49:00,Preparing,425.0
178,196,41,Burrito x1; Mexican Rice x2; Fajitas x2; Fajitas x2,2024-09-17,00:34:00,Preparing,1870.5
179,96,4,Samosa x1; Butter Chicken x3; Butter Chicken x3,2025-08-11,10:44:00,Completed,2323.0
180,80,34,Deluxe Platter x2,2024-12-12,02:02:00,Preparing,987.1
181,75,117,Rajma Chawal x3; Tandoori Roti x2; Dal Makhani x2; Chole Bhature x2; Naan x1,2025-08-23,00:14:00,Completed,1640.5
182,34,55,Rajma Chawal x3,2025-05-27,05:45:00,Completed,670.0
183,10,97,Classic Platter x3; Special Platter x3; Special Dish x2,2024-09-29,12:35:00,Preparing,1690.75
184,180,40,Classic Platter x1; Deluxe Meal x1,2025-08-19,14:39:00,Completed,1080.0
185,36,108,Churros x3,2024-12-01,05:07:00,Completed,541.5
186,128,51,Garlic Bread x2; Calzone x1; Bruschetta x3; Tiramisu x2; Lasagna x1,2025-03-06,13:13:00,Completed,1881.5
187,124,85,Special Dish x1; Special Platter x2,2025-06-14,21:49:00,Completed,1589.85
188,186,186,Guacamole x3,2025-03-14,13:18:00,Preparing,548.0
189,13,26,Dosa x2; Rasam x3,2025-04-12,13:07:00,Confirmed,554.0
190,195,12,Quesadilla x3,2024-11-18,07:22:00,Completed,732.5
191,160,69,Bruschetta x2,2025-08-23,05:25:00,Cancelled,377.0
192,70,99,Fajitas x3; Quesadilla x1; Quesadilla x3; Tacos x1,2024-10-02,13:37:00,Completed,2031.0
193,146,174,Special Platter x2; Classic Dish x3; Special Meal x1; Deluxe Meal x1,2024-10-27,19:00:00,Completed,2944.0
194,174,135,Classic Platter x3; Deluxe Platter x3; Classic Platter x2; Classic Platter x2; Deluxe Platter x3,2024-11-27,06:52:00,Completed,4759.05
195,157,14,Classic Dish x2,2025-03-20,21:04:00,Completed,917.8
196,83,62,Chilli Chicken x1; Gobi Manchurian x1; Gobi Manchurian x3,2025-07-04,13:15:00,Confirmed,1041.0
197,114,147,Paneer Tikka x2; Chole Bhature x2; Paneer Tikka x2; Butter Chicken x1,2024-11-25,13:35:00,Completed,1976.5
198,24,155,Chilli Chicken x3; Gobi Manchurian x1; Hot & Sour Soup x2; Dim Sum x1; Fried Rice x2,2025-01-19,16:39:00,Completed,1825.5
199,184,169,Salsa x1; Burrito x3; Nachos x1,2025-01-10,12:40:00,Cancelled,1143.0
200,75,141,Enchiladas x3; Burrito x1; Quesadilla x2; Quesadilla x3; Fajitas x1,2025-06-04,18:12:00,Confirmed,2555.5
201,101,56,Special Platter x1; Deluxe Dish x3; Classic Dish x2; Classic Platter x1,2025-08-14,00:47:00,Pending,3119.65
202,111,150,Gobi Manchurian x1; American Chopsuey x1; Spring Rolls x1; Schezwan Noodles x3,2025-03-07,18:20:00,Completed,1275.5
203,99,108,Nachos x2; Fajitas x2; Guacamole x2; Quesadilla x1; Fajitas x3,2024-12-02,21:32:00,Preparing,2499.5
204,180,141,Churros x3; Nachos x1; Nachos x3,2025-06-14,12:22:00,Completed,1345.5
205,34,182,Samosa x3; Tandoori Roti x3,2025-04-30,20:35:00,Completed,241.75
206,147,171,Medu Vada x2; Bisi Bele Bath x1; Medu Vada x1; Dosa x2,2025-01-02,02:03:00,Preparing,700.5
207,193,42,Sambhar x1; Dosa x3; Sambhar x1,2025-01-09,15:22:00,Completed,645.0
208,27,158,Special Platter x3; Deluxe Dish x3; Deluxe Platter x1; Deluxe Meal x3; Deluxe Platter x1,2025-01-16,11:39:00,Completed,4730.6
209,114,58,Classic Platter x1; Classic Dish x2; Special Platter x1,2024-11-14,20:07:00,Ready for Pickup,1349.3
210,110,72,Deluxe Dish x3; Deluxe Dish x2; Classic Dish x1; Deluxe Platter x3; Classic Platter x2,2025-09-06,17:22:00,Confirmed,2852.0
211,182,82,Special Dish x1; Classic Dish x3; Classic Meal x2; Special Dish x2; Deluxe Meal x1,2025-03-21,19:30:00,Cancelled,3410.7
212,193,167,Special Platter x2,2025-08-12,21:39:00,Completed,731.7
213,63,11,Tiramisu x1; Tiramisu x2; Calzone x3,2024-11-03,01:33:00,Completed,1591.5
214,96,132,Deluxe Meal x2; Classic Dish x3; Special Dish x3; Classic Dish x1; Special Platter x1,2025-05-25,13:06:00,Preparing,3152.65
215,180,190,Paneer Tikka x3; Dal Makhani x1; Chole Bhature x3; Tandoori Roti x1,2024-11-10,03:11:00,Completed,1741.25
216,143,19,Nachos x2; Fajitas x2; Salsa x3; Fajitas x2; Enchiladas x1,2024-12-10,19:34:00,Pending,2227.5
217,185,159,Classic Platter x3,2025-03-24,12:32:00,Confirmed,578.95
218,176,78,Special Meal x2; Deluxe Platter x2; Special Platter x1; Classic Meal x2; Classic Dish x3,2025-02-27,21:41:00,Ready for Pickup,3339.2
219,3,142,Vada x1; Dosa x1; Masala Dosa x3; Bisi Bele Bath x3; Medu Vada x1,2024-10-16,09:47:00,Completed,1361.5
220,89,55,Samosa x1; Dal Makhani x1; Naan x3; Biryani x1,2025-06-28,07:51:00,Completed,835.0
221,14,193,Deluxe Platter x1; Deluxe Platter x2; Special Dish x2; Deluxe Meal x3; Classic Dish x2,2025-08-10,03:12:00,Ready for Pickup,2946.0
222,116,85,Classic Meal x1; Classic Platter x2; Deluxe Dish x2; Special Dish x2; Deluxe Meal x3,2025-01-12,12:30:00,Completed,3262.75
223,92,199,Chole Bhature x3; Paneer Tikka x1; Rajma Chawal x1,2025-06-06,21:08:00,Completed,1118.0
224,51,68,Classic Dish x3,2025-09-01,01:37:00,Completed,570.85
225,197,152,Special Platter x3; Classic Meal x1,2024-11-11,13:57:00,Completed,1452.65
226,188,75,Deluxe Platter x1; Deluxe Meal x1,2025-03-06,10:51:00,Cancelled,930.9
227,176,43,Vada x2; Vada x1; Masala Dosa x3; Vada x3; Pongal x2,2025-06-10,09:31:00,Preparing,1155.5
228,68,95,Special Platter x3; Deluxe Meal x2,2025-07-02,01:41:00,Ready for Pickup,1654.25
229,181,134,Classic Meal x3; Classic Dish x3; Deluxe Meal x3,2025-06-12,14:24:00,Cancelled,3933.7
230,58,133,Deluxe Meal x2; Classic Dish x1; Deluxe Dish x1; Classic Platter x1,2025-02-02,08:23:00,Completed,1891.2
231,31,170,Deluxe Meal x2; Classic Meal x1,2025-07-18,07:53:00,Completed,918.55
232,63,12,Mexican Rice x3; Quesadilla x1,2025-06-23,14:57:00,Completed,857.5
233,15,43,Vada x3; Bisi Bele Bath x3; Masala Dosa x3,2024-11-29,21:46:00,Completed,1291.0
234,73,22,Pongal x3; Pongal x2,2024-10-31,09:26:00,Completed,565.0
235,150,197,Masala Dosa x3; Medu Vada x2,2025-08-31,19:21:00,Completed,659.5
236,153,152,Special Meal x1,2024-11-21,00:33:00,Completed,400.35
237,130,176,Special Platter x1; Deluxe Platter x1; Classic Platter x1; Deluxe Platter x3,2025-02-06,20:57:00,Completed,1653.7
238,174,167,Classic Meal x1; Classic Platter x1; Deluxe Meal x3; Classic Platter x1,2024-11-15,05:30:00,Completed,2302.95
239,22,73,Classic Meal x1; Special Platter x3; Classic Dish x1; Deluxe Platter x3; Deluxe Meal x1,2025-08-30,13:37:00,Preparing,2407.8
240,138,109,Rasam x3; Sambhar x3; Bisi Bele Bath x1; Bisi Bele Bath x3; Medu Vada x2,2025-01-17,12:35:00,Completed,1479.5
241,79,148,Schezwan Noodles x3; Spring Rolls x3; Manchurian x3,2024-11-22,13:44:00,Completed,1808.0
242,26,55,Palak Paneer x2; Samosa x3; Butter Chicken x1; Palak Paneer x3; Butter Chicken x1,2025-02-20,13:38:00,Completed,2265.0
243,17,68,Deluxe Dish x1; Classic Meal x3,2024-10-22,14:45:00,Cancelled,1673.3
244,15,199,Chole Bhature x2; Butter Chicken x1,2025-06-10,21:33:00,Preparing,817.5
245,9,154,Samosa x3; Naan x3; Dal Makhani x3; Butter Chicken x2; Naan x3,2025-02-18,22:05:00,Cancelled,1962.0
